Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
28,-108.68595,5.9225583,-131.29292,-103.45615,62.854042,23.0,262.0,-4.83585,-7.436929,-2.590169,0.060462244,-2.0499616,1.4219152,-0.060462244,0.08264889,-0.006690395,-0.014910939,0.7258272,0.0022542665,80.0,65025,1.0041995,0.00029459999999999995,-79.55281829833984,15.947527885437012,0.5000179999743863,896000,353,2551
29,-109.0046,6.2178106,-147.48898,-103.296776,63.36706,22.0,280.0,-4.787236,-7.2937636,-2.6525826,0.054867316,-2.9191868,1.1924154,-0.05486732,0.08329362,-0.0065169726,-0.013361925,0.7251616,0.002180611,80.0,65025,1.0044887,0.00029439999999999995,-79.36654663085938,16.093393325805664,0.4996853259799178,928000,366,2545
30,-109.76889,7.052157,-138.77538,-103.50428,67.270615,24.0,242.0,-4.68327,-6.99386,-2.3784726,0.07177689,-2.3626277,1.3669429,-0.07177689,0.086738415,-0.0070856186,-0.018664684,0.7244957,0.0022695134,80.0,65025,1.0061833,0.0002942,-79.13219451904297,16.30807113647461,0.4993526649752435,960000,378,2541
31,-109.54191,6.4367905,-135.7532,-103.57135,67.42495,24.0,273.0,-4.596242,-7.032141,-2.303021,0.06261814,-2.8029218,1.3153578,-0.06261814,0.075279385,-0.006269763,-0.012767312,0.7238293,0.002137133,80.0,65025,1.0047817,0.000294,-78.9151840209961,16.49616813659668,0.49901998748530696,992000,391,2531
32,-110.075905,7.1280084,-145.01373,-103.34048,71.08036,24.0,283.0,-4.4809313,-7.415686,-2.2982519,0.060142487,-5.944945,1.3380599,-0.060142487,0.089866206,-0.007184741,-0.017884135,0.7231626,0.0023809834,80.0,65025,1.0049723,0.0002938,-78.67059326171875,16.72555923461914,0.49868732356233114,1024000,404,2514
33,-109.75081,6.882345,-141.31683,-103.550804,68.77056,23.0,244.0,-4.4250636,-7.08418,-2.0853374,0.05011568,-2.928422,1.3977624,-0.05011568,0.07953807,-0.007276332,-0.012950208,0.7224952,0.0025386387,80.0,65025,1.0038565,0.0002936,-78.46167755126953,16.904876708984375,0.4983546734747757,1056000,417,2526
34,-110.65448,7.862686,-144.75745,-103.50231,73.541664,24.0,272.0,-4.32932,-6.8857512,-1.96484,0.06624312,-2.8641443,1.1398299,-0.06624312,0.07307168,-0.0067095654,-0.013904549,0.72182757,0.0023647668,80.0,65025,1.0070238,0.0002934,-78.21110534667969,17.14894676208496,0.4980220078064781,1088000,429,2536
35,-110.9741,7.9850583,-136.95964,-103.31658,74.86998,23.0,215.0,-4.2529345,-6.7495365,-2.075322,0.07348324,-2.6266565,1.392469,-0.07348324,0.07502429,-0.0066241575,-0.0149887875,0.7211592,0.002367014,80.0,65025,1.0065575,0.00029319999999999997,-77.9632797241211,17.372758865356445,0.49768932688498774,1120000,442,2523
36,-111.22601,8.457752,-149.37596,-103.6467,77.046005,25.0,266.0,-4.1881886,-6.689503,-1.9560102,0.08009165,-2.781578,1.1514561,-0.08009164,0.06839944,-0.006488517,-0.015512299,0.7204906,0.0023170921,80.0,65025,1.008112,0.00029299999999999997,-77.70673370361328,17.613750457763672,0.4973566606824232,1152000,454,2543
37,-111.26551,8.48448,-152.57848,-103.64103,77.41951,24.0,310.0,-4.0767107,-6.606538,-1.8887157,0.06650725,-2.633472,1.3948163,-0.06650725,0.068823874,-0.006761322,-0.010658377,0.71982163,0.002549107,80.0,65025,1.0075095,0.00029279999999999996,-77.45541381835938,17.858095169067383,0.4970240094664514,1184000,467,2544
