Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
33,-176.29422,193.04742,-1635.6183,-100.39129,89.07964,3.0,500.0,-1.4056413,-5.742322,0.10530006,-0.037984625,-1.352336,0.5861604,0.037984625,0.020458993,-0.0020000008,-0.0069177235,0.6331788,0.001634456,80.0,1371,0.99529827,0.00026799999999999995,-120.924560546875,79.99732971191406,0.45577332497020195,1056000,160,6489
34,-203.80804,221.53824,-1358.6333,-100.95573,112.94424,7.0,500.0,-1.5034072,-5.551472,0.025440559,-0.035765205,-1.2266698,2.047449,0.035765205,0.02133054,-0.0020730312,-0.009071976,0.6295227,0.0015049077,80.0,1371,0.9944829,0.000267,-120.68443298339844,79.5704116821289,0.4541099923733702,1088000,165,6553
35,-191.3802,223.40323,-1659.9669,-100.27814,94.347435,9.0,500.0,-1.5093049,-6.829427,-0.20024008,-0.044249363,-0.8037441,2.1024468,0.044249356,0.021558348,-0.002138233,-0.007945824,0.62585306,0.0016091702,80.0,1371,0.9952997,0.000266,-120.61312866210938,79.30397033691406,0.45244666224123087,1120000,170,6580
36,-208.91412,239.2582,-1906.5972,-100.731476,111.90426,5.0,500.0,-1.5156204,-6.7007685,-0.26728904,-0.040922333,-1.0855868,3.1927986,0.040922333,0.027548127,-0.0022486849,-0.008126372,0.62217,0.001538954,80.0,1371,0.9945142,0.000265,-120.53346252441406,79.05831909179688,0.45078332535917837,1152000,176,4917
37,-175.72223,177.97914,-1271.5585,-100.63309,93.78019,6.0,500.0,-1.472631,-6.26679,-0.2851175,-0.017652657,-0.67469394,2.3722613,0.017652657,0.014970903,-0.0017308327,-0.0040684277,0.6184732,0.0014809214,80.0,1371,0.99737835,0.00026399999999999997,-120.11830139160156,78.58179473876953,0.44911999991009005,1184000,182,6059
38,-177.72554,182.8054,-1389.2374,-100.66987,94.63384,13.0,500.0,-1.375712,-6.995732,0.29066238,-0.03418785,-0.8434414,1.4160613,0.034187846,0.015982807,-0.0018735668,-0.006610355,0.61476296,0.0015330956,80.0,1371,0.9954555,0.000263,-119.75105285644531,78.15802001953125,0.4474566776357873,1216000,186,6718
39,-187.17934,206.9785,-1431.0822,-100.572815,95.65549,3.0,500.0,-1.4745456,-6.851366,-0.23891982,-0.038187258,-0.9399549,2.6742377,0.038187258,0.018006139,-0.0020694027,-0.005667988,0.6110386,0.0017101044,80.0,1371,0.99438196,0.00026199999999999997,-119.61231231689453,77.82887268066406,0.4457933243308825,1248000,191,6717
40,-170.71524,175.70201,-1698.3379,-100.78835,85.6482,7.0,500.0,-1.4531204,-6.4395165,0.44423053,-0.02631923,-1.5355793,4.3924494,0.026319228,0.024611933,-0.0022056042,-0.0032865643,0.6073007,0.0017632345,80.0,1371,0.99480414,0.000261,-119.31658172607422,77.44923400878906,0.444130012697655,1280000,196,6704
41,-189.27036,208.77255,-1386.3135,-100.681786,94.10185,4.0,500.0,-1.6019409,-6.9914165,-0.3668421,-0.03534396,-0.6894406,2.3401184,0.03534396,0.018981388,-0.0022407258,-0.0053795474,0.60354835,0.001849765,80.0,1371,0.9951863,0.00026,-119.24131774902344,77.14718627929688,0.44246665663059725,1312000,201,6687
42,-192.62222,196.16017,-1155.4977,-101.04783,107.34812,8.0,500.0,-1.5010632,-7.0392766,0.32095808,-0.023643145,-1.5339108,3.1854706,0.023643143,0.01647764,-0.0019507704,-0.0033054627,0.59978205,0.0016105229,80.0,1371,0.9961964,0.00025899999999999995,-118.969482421875,76.74756622314453,0.44080332947585166,1344000,206,6718
43,-171.02234,175.86171,-1423.8685,-100.288445,86.86592,7.0,500.0,-1.4479991,-6.8435225,-0.33049878,-0.019376595,-0.7240811,4.6315904,0.019376598,0.022803422,-0.002143739,-0.0038887192,0.5960015,0.001738896,80.0,1371,0.9958594,0.000258,-118.6605224609375,76.42803192138672,0.4391399993071233,1376000,210,6716
44,-170.22429,140.68599,-989.59357,-100.42996,100.182106,9.0,500.0,-1.3112733,-6.6446586,-0.40471482,-0.014357829,-0.67294073,1.5178783,0.014357828,0.009320648,-0.0015006801,-0.0019022028,0.59220654,0.0016108877,80.0,1371,0.9970771,0.00025699999999999996,-118.11398315429688,75.950927734375,0.43747666128472573,1408000,216,5540
45,-176.89143,191.49226,-1490.4979,-100.98291,90.61357,8.0,500.0,-1.5585961,-6.7946706,-0.40088725,-0.02145806,-0.50061125,1.448715,0.02145806,0.010472888,-0.001716038,-0.0027094595,0.588397,0.0017939354,80.0,1371,0.9946542,0.00025599999999999993,-117.886474609375,75.65451049804688,0.43581333715783044,1440000,222,5266
46,-157.47815,122.22157,-887.77234,-100.51063,85.5928,4.0,500.0,-1.327518,-5.741046,-0.39602992,-0.01182938,-0.6641306,1.4750288,0.011829378,0.008010425,-0.0013391525,-0.0015613502,0.5845733,0.0015652225,80.0,1371,0.99743354,0.00025499999999999996,-117.3494644165039,75.17872619628906,0.4341499971346156,1472000,227,6439
47,-153.72452,110.90278,-1077.1088,-100.5095,85.77989,6.0,500.0,-1.3110422,-6.941883,-0.17230067,-0.0062908763,-0.99533266,1.037778,0.006290877,0.0062172697,-0.0012253327,-0.00079766905,0.5807348,0.0015792819,80.0,1371,0.9974045,0.000254,-116.76939392089844,74.75335693359375,0.4324866639844446,1504000,232,6011
48,-144.6658,87.99175,-748.55585,-101.03982,76.791664,9.0,500.0,-1.2405435,-5.1343036,0.21747118,-0.0075432817,-1.4240582,2.2795496,0.007543281,0.0071047004,-0.0013155779,-0.0009331616,0.57688135,0.0017286409,80.0,1371,0.9973903,0.00025299999999999997,-116.17578887939453,74.28998565673828,0.4308233350070929,1536000,238,6249
49,-150.86313,99.03592,-986.4219,-100.67847,85.45082,9.0,500.0,-1.2323254,-5.0500283,-0.44921693,-0.0058645867,-0.6457168,0.79067314,0.0058645876,0.0051031285,-0.0011277087,-0.0006692505,0.57301325,0.0015723559,80.0,1371,0.9966737,0.00025199999999999995,-115.56852722167969,73.89271545410156,0.4291600081062228,1568000,243,6534
50,-146.34637,93.7008,-751.87213,-100.78867,78.85139,7.0,500.0,-1.2349446,-5.192697,0.3003974,-0.009218563,-1.5379542,0.35239494,0.009218562,0.004915606,-0.0011815253,-0.00060998736,0.5691299,0.0017976242,80.0,1371,0.9971509,0.000251,-114.99858093261719,73.46794891357422,0.4274966563063952,1600000,247,6616
51,-145.75436,69.42994,-589.50854,-100.78014,87.461975,5.0,500.0,-1.1387911,-3.449453,0.013338313,-0.005277792,-1.219,0.781476,0.005277792,0.0042606546,-0.0010625995,-0.00034180755,0.5652314,0.0015085373,80.0,1371,0.9989472,0.00025,-114.33316040039062,73.12347412109375,0.42583332977312577,1632000,252,6513
52,-138.8506,61.91229,-525.2593,-100.77117,74.311905,6.0,500.0,-1.1371541,-2.241089,-0.2201376,-0.0047176993,-0.4836758,0.5633303,0.004717699,0.0036914092,-0.0009680835,-0.00033758514,0.56131744,0.0014929674,80.0,1371,0.99769324,0.000249,-113.72166442871094,72.73652648925781,0.42417000262846627,1664000,257,6396
53,-142.21985,70.68339,-715.65216,-100.614624,78.93765,6.0,500.0,-1.1349022,-4.0782704,-0.46462828,-0.011823465,-0.6025986,0.67095757,0.011823466,0.0046783593,-0.0011610235,-0.0008961393,0.55738837,0.0015787866,80.0,1371,0.995681,0.00024799999999999996,-113.14154052734375,72.34696197509766,0.42250667516927376,1696000,263,5996
