Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
28,-471.40005,756.30426,-3614.7378,-101.83362,201.45454,7.0,500.0,-1.547978,-7.670085,0.36773401,-0.002453786,-6.4174633,1.048241,0.0024537877,0.09897696,-0.0038388616,-0.005129588,0.7258272,0.0014265715,80.0,10795,0.99710035,0.00029459999999999995,-157.03939819335938,167.74461364746094,0.5000179999743863,896000,139,6320
29,-363.49854,581.6365,-3122.8347,-124.12939,186.80124,54.0,500.0,-1.3133435,-7.5483756,0.2259992,0.014361225,-6.735816,0.91634244,-0.014361225,0.08266553,-0.0035764868,-0.0033254018,0.7251616,0.0014058816,80.0,10795,1.0000144,0.00029439999999999995,-157.30081176757812,168.24388122558594,0.4996853259799178,928000,144,6383
30,-293.8011,436.7329,-2861.979,-123.42127,173.99445,56.0,500.0,-1.1140125,-7.5200367,0.26385802,0.033254214,-6.456994,1.8484781,-0.033254214,0.06623556,-0.0031981876,-0.0040503903,0.7244958,0.0014126597,80.0,10795,1.0019001,0.0002942,-156.48321533203125,167.41571044921875,0.4993526649752435,960000,150,6361
31,-319.17438,444.1527,-2674.0303,-101.00256,186.625,6.0,500.0,-1.1453857,-7.424105,0.34159404,0.016442226,-6.5061417,0.7913734,-0.016442228,0.05429434,-0.0029271552,-0.0029653073,0.7238293,0.001301878,80.0,10795,1.0004373,0.000294,-155.85316467285156,166.43359375,0.49901998748530696,992000,155,6371
32,-232.90608,255.43176,-2222.1865,-100.85504,168.61327,7.0,500.0,-0.82562065,-6.239528,0.26537377,0.023487303,-5.0118885,0.9019669,-0.023487303,0.040619962,-0.002418703,-0.0041936478,0.7231626,0.0012726892,80.0,10795,1.001404,0.0002938,-154.21116638183594,164.87020874023438,0.49868732356233114,1024000,160,6360
33,-248.6465,297.73502,-1930.5863,-101.14562,168.84946,7.0,500.0,-0.8673778,-6.309568,0.232494,0.011301266,-5.2146792,3.7289152,-0.011301266,0.041171126,-0.002497275,-0.0029554716,0.72249514,0.0012948327,80.0,10795,1.000052,0.0002936,-152.9078369140625,163.45901489257812,0.4983546734747757,1056000,165,6389
34,-275.72778,355.4705,-2262.9473,-101.33244,169.44865,6.0,500.0,-0.91012037,-6.771546,0.12912415,-0.0005907381,-5.699002,0.73272187,0.0005907372,0.041102342,-0.002541649,-0.00240779,0.72182757,0.0014659103,80.0,10795,0.99869597,0.0002934,-152.08285522460938,162.17965698242188,0.4980220078064781,1088000,170,6372
35,-284.0203,333.6565,-2110.6543,-100.89488,190.55063,7.0,500.0,-0.94945043,-6.852631,0.09116326,0.0059083845,-5.572766,1.1654472,-0.005908384,0.03702104,-0.0023747678,-0.0020097475,0.7211592,0.0013225314,80.0,10795,1.0001388,0.00029319999999999997,-151.1538848876953,160.80508422851562,0.49768932688498774,1120000,175,6372
36,-351.69907,453.74716,-2982.2026,-127.168976,219.9929,56.0,500.0,-0.9988556,-7.302543,0.19025376,-0.008191034,-6.299261,0.73407674,0.008191036,0.04174301,-0.0026820977,-0.0027779941,0.72049046,0.0015953227,80.0,10795,0.99846494,0.00029299999999999997,-150.59791564941406,159.9752197265625,0.4973566606824232,1152000,180,6370
37,-240.5617,226.88718,-1431.052,-101.35744,188.5283,7.0,500.0,-0.80244493,-5.79007,0.11704587,0.00843256,-4.5307765,0.68930805,-0.00843256,0.027922718,-0.0020537185,-0.0018976429,0.7198217,0.0013651641,80.0,10795,1.0009968,0.00029279999999999996,-149.2010498046875,158.63153076171875,0.4970240094664514,1184000,185,6391
38,-279.04044,327.77933,-2595.962,-102.15673,193.06494,7.0,500.0,-0.8469115,-7.022242,0.084995404,-0.000615401,-6.1038556,4.933099,0.0006154018,0.037669264,-0.0026691407,-0.0026024065,0.7191521,0.0014985348,80.0,10795,0.9991792,0.0002926,-148.305908203125,157.43807983398438,0.49669134389942987,1216000,190,6356
39,-231.12074,191.54997,-1304.2734,-101.9866,181.82248,7.0,500.0,-0.70250386,-5.338075,0.20320725,0.0065345564,-3.685685,1.149003,-0.006534556,0.01652304,-0.0017451373,-0.0017884974,0.718482,0.0014367595,80.0,10795,1.0003157,0.0002924,-146.90919494628906,156.07540893554688,0.4963586643081122,1248000,195,6349
40,-235.40782,229.09575,-1490.1456,-101.77149,173.59116,8.0,500.0,-0.6749651,-5.258489,0.11787484,-0.0023663158,-4.0727854,0.703003,0.0023663153,0.018643728,-0.0021064677,-0.0026324256,0.7178116,0.0016640637,80.0,10795,0.9986105,0.00029219999999999995,-145.75852966308594,154.7517547607422,0.4960260005845061,1280000,200,6309
41,-253.85808,235.44403,-1426.8577,-101.06512,188.30624,6.0,500.0,-0.7246608,-5.252654,0.07231776,-0.004026032,-3.5908885,0.6604352,0.0040260325,0.014615283,-0.0017774896,-0.0014117921,0.71714056,0.001385898,80.0,10795,0.99868166,0.000292,-144.6715850830078,153.44110107421875,0.49569332344985473,1312000,205,6326
42,-212.29079,133.26529,-1115.9175,-101.91372,175.7542,7.0,500.0,-0.5851548,-2.6234767,0.04680968,0.00046844338,-1.3820356,0.46241856,-0.00046844315,0.009523976,-0.0013690796,-0.001822109,0.71646947,0.0013632217,80.0,10795,0.99943423,0.0002918,-143.29461669921875,152.20526123046875,0.4953606627561073,1344000,210,6305
43,-224.8438,146.88483,-1019.7283,-101.45919,188.5061,6.0,500.0,-0.6237488,-3.018545,0.024711378,0.0016282758,-1.9093603,0.7057871,-0.0016282757,0.00852325,-0.0013734119,-0.0010293475,0.7157974,0.001297499,80.0,10795,0.99982685,0.0002916,-142.0070343017578,150.97740173339844,0.49502798926376246,1376000,215,6339
44,-253.6564,197.65091,-1175.7202,-100.90717,202.17949,8.0,500.0,-0.6612833,-2.713645,0.10285295,-0.0069398563,-1.6193804,0.6898476,0.0069398563,0.009917898,-0.0015681775,-0.001327063,0.7151251,0.0016360991,80.0,10795,0.9976995,0.0002914,-140.96484375,149.72544860839844,0.49469533278470973,1408000,220,6195
45,-261.42657,218.03963,-1842.215,-102.45676,210.20139,9.0,500.0,-0.6443318,-3.7199833,-0.04887879,-0.00952837,-1.7991614,0.37909538,0.00952837,0.009641193,-0.00151684,-0.0020350635,0.7144526,0.0015236057,80.0,10795,0.9977767,0.0002912,-139.96405029296875,148.58267211914062,0.4943626641187013,1440000,225,6398
46,-224.86359,126.88067,-948.8925,-102.05117,203.35065,7.0,500.0,-0.5940594,-2.2920957,-0.0069232136,0.00083781016,-1.1896479,0.5198637,-0.0008378099,0.0068103387,-0.001228202,-0.00074692944,0.71377957,0.0014542935,80.0,10795,0.9987285,0.00029099999999999997,-138.70901489257812,147.51040649414062,0.49403001303756583,1472000,230,6359
47,-257.05405,178.31584,-1166.9817,-101.80685,211.48322,7.0,500.0,-0.6472247,-2.759716,0.023388363,-0.00825727,-1.8120059,0.55979943,0.008257271,0.007852223,-0.0013129569,-0.0009390477,0.7131059,0.0015188942,80.0,10795,0.997982,0.00029079999999999997,-137.74737548828125,146.34335327148438,0.49369732095365265,1504000,235,6330
48,-207.1581,84.51221,-545.7098,-128.63765,193.65218,62.0,500.0,-0.552285,-1.5181372,-0.021533534,0.0006551025,-0.82811695,0.44852802,-0.00065510295,0.0049975803,-0.0009779065,-0.00076618115,0.7124319,0.0014076021,80.0,10795,0.9986744,0.00029059999999999996,-136.4962921142578,145.35455322265625,0.4933646764718645,1536000,240,6333
49,-235.64505,123.01919,-948.702,-134.51927,214.44444,70.0,500.0,-0.5873867,-1.9082336,-0.03398254,-0.0034227662,-1.1174062,0.54125655,0.003422766,0.0052244496,-0.0010972237,-0.0007427797,0.7117573,0.0014598893,80.0,10795,0.9984645,0.00029039999999999996,-135.39414978027344,144.32733154296875,0.4930319916369756,1568000,246,6294
50,-251.85693,152.4606,-1320.5509,-100.78785,237.34616,6.0,500.0,-0.6001369,-1.5271565,-0.10115804,-0.005010288,-0.7477662,0.45514318,0.0050102873,0.004802559,-0.0010496201,-0.0007831566,0.71108246,0.0014617303,80.0,10795,0.9983245,0.0002902,-134.3293914794922,143.3434295654297,0.4926993255673415,1600000,251,6372
51,-226.98135,111.97705,-867.07446,-102.331184,216.87943,7.0,500.0,-0.57257754,-1.8559414,0.10226577,-0.0018415328,-1.06422,0.38425553,0.001841533,0.0038714488,-0.0009174147,-0.00031744596,0.71040696,0.0013850676,80.0,10795,0.99845237,0.00029,-133.21417236328125,142.4278106689453,0.4923666785278051,1632000,256,6371
52,-250.67711,135.20825,-878.0167,-101.49416,233.35658,7.0,500.0,-0.5905818,-1.5836947,-0.010268755,-0.004727686,-0.8193132,0.7739591,0.004727686,0.0037520097,-0.00094119913,-0.0003848786,0.70973104,0.0015471666,80.0,10795,0.9976047,0.00028979999999999994,-132.23670959472656,141.45692443847656,0.4920339921279806,1664000,261,6349
